Player Name,Team,Age,Draft,GS,GP,Min,PPG,FG%,3P%,FT%,OReb,DReb,Ast,Blk,Stl,TO,Salary
Isaiah Stewart,Pistons,22,16,47,50,28.3,11.3,0.442,0.327,0.738,2.3,5.8,1.4,0.7,0.4,1.4,5.2
Cory Joseph,Pistons,32,29,2,62,19.8,6.9,0.427,0.389,0.792,0.3,1.4,3.5,0.1,0.5,0.9,5.1
Alec Burks,Pistons,32,12,8,51,22,12.8,0.436,0.414,0.814,0.4,2.7,2.2,0.2,0.7,1.1,10.4
Julius Randle,Knicks,28,7,77,77,35.5,25.1,0.459,0.343,0.757,1.8,8.1,4.1,0.3,0.6,2.8,25.6
RJ Barrett,Knicks,23,3,73,73,33.9,19.6,0.434,0.31,0.74,0.8,4.2,2.8,0.2,0.4,2.2,23.9
Jalen Brunson,Knicks,27,33,68,68,35,24,0.491,0.416,0.829,0.6,3,6.2,0.2,0.9,2.1,26.3
Immanuel Quickley,Knicks,24,25,21,81,28.9,14.9,0.448,0.37,0.819,0.7,3.4,3.4,0.2,1,1.2,4.2
Quentin Grimes,Knicks,23,25,66,71,29.9,11.3,0.468,0.386,0.796,0.7,2.5,2.1,0.4,0.7,1,2.4
Isaiah Hartenstein,Knicks,25,43,8,82,19.8,5,0.535,0.216,0.676,2.5,4,1.2,0.8,0.6,0.8,8.2
Mitchell Robinson,Knicks,25,36,58,59,27,7.4,0.671,0,0.484,4.5,4.9,0.9,1.8,0.9,0.7,15.7
Josh Hart,Knicks,28,30,52,76,32.3,9.8,0.529,0.372,0.75,1.9,5.9,3.8,0.3,1.2,1.5,13
Brook Lopez,Bucks,35,10,78,78,30.4,15.9,0.531,0.374,0.784,2,4.7,1.3,2.5,0.5,1.4,13.9
Jrue Holiday,Bucks,32,17,65,67,32.6,19.3,0.479,0.384,0.859,1.2,3.9,7.4,0.4,1.2,2.9,36.2
Giannis Antetokounmpo,Bucks,28,15,63,63,32.1,31.1,0.553,0.275,0.645,2.2,9.6,5.7,0.8,0.8,3.9,45.6
Grayson Allen,Bucks,27,21,70,72,27.4,10.4,0.44,0.399,0.905,0.8,2.4,2.3,0.2,0.9,1,8.5
Bobby Portis,Bucks,28,22,22,70,26,14.1,0.496,0.37,0.768,22,7.4,1.5,0.2,0.4,1.2,11.7
Jevon Carter,Bucks,27,32,39,81,22.3,8,0.423,0.421,0.816,0.4,2.1,2.4,0.4,0.8,1,2.2
Pat Connaughton,Bucks,30,11,33,61,23.7,7.6,0.392,0.339,0.659,0.8,3.8,1.3,0.2,0.6,0.5,9.4
Khris Middleton,Bucks,31,39,19,33,24.3,15.1,0.436,0.315,0.902,0.8,3.4,4.9,0.2,0.7,2.2,40.4
